distribution,distribution_label,hours_to_pep,mean_efficacy_unknown_vl_pct,mean_efficacy_known_vl_pct,premium_absolute_pct,premium_relative_pct,note
general_community,General HIV+ community,18,85.36,86.82,1.456,1.706,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
general_community,General HIV+ community,21,80.88,82.44,1.565,1.934,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
general_community,General HIV+ community,24,75.92,77.47,1.552,2.044,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
general_community,General HIV+ community,30,65.79,67.06,1.276,1.94,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
general_community,General HIV+ community,36,57.03,58.1,1.071,1.879,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
general_community,General HIV+ community,42,49.81,51.04,1.23,2.47,
general_community,General HIV+ community,48,42.68,44.31,1.631,3.821,
general_community,General HIV+ community,60,24.83,26.14,1.305,5.254,
general_community,General HIV+ community,72,8.56,8.78,0.223,2.606,
acute_infection_enriched,Acute-infection-enriched network,0,96.87,96.87,0.0,0.0,
acute_infection_enriched,Acute-infection-enriched network,3,95.52,96.42,0.898,0.94,
acute_infection_enriched,Acute-infection-enriched network,6,93.59,94.87,1.277,1.365,
acute_infection_enriched,Acute-infection-enriched network,9,90.92,92.67,1.743,1.917,
acute_infection_enriched,Acute-infection-enriched network,12,87.42,89.67,2.251,2.575,
acute_infection_enriched,Acute-infection-enriched network,15,83.08,85.81,2.723,3.277,
acute_infection_enriched,Acute-infection-enriched network,18,78.08,81.14,3.055,3.913,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
acute_infection_enriched,Acute-infection-enriched network,21,72.73,75.9,3.17,4.359,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
acute_infection_enriched,Acute-infection-enriched network,24,67.39,70.45,3.061,4.543,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
acute_infection_enriched,Acute-infection-enriched network,30,57.74,60.29,2.545,4.408,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
acute_infection_enriched,Acute-infection-enriched network,36,49.33,51.75,2.423,4.912,"Non-monotonic region: 2h urgency reduction interacts with logistic inflection of seeding/integration curves — preserved as real signal, not smoothed"
acute_infection_enriched,Acute-infection-enriched network,42,40.31,43.27,2.962,7.349,
acute_infection_enriched,Acute-infection-enriched network,48,29.57,33.08,3.515,11.888,
acute_infection_enriched,Acute-infection-enriched network,60,9.54,11.52,1.977,20.727,
acute_infection_enriched,Acute-infection-enriched network,72,1.53,1.83,0.299,19.541,
