category,claim_id,description,value,units,source_file,source_locator,commit_sha,verification_method,notes
bound,bound_envelope_par_jid_consistent,"Bound at canonical t_crit=34.5h, JID-consistent F_median=72h",18.0,percent,computed,0.144*0.95 + 0.856*0.05 = 0.1798,dfff300,Sensitivity,Conservative parameterization at canonical t_crit. Updated 2026-05-06 to use canonical t_crit=34.5h.
NHP,tsai_24h_cv03,Tsai 1998 IV 24h delay: model E_PEP vs NHP protection,0.50 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Tsai 1998 IV,delay_h=24,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: False (model under-predicts at short delay)
NHP,tsai_48h_cv03,Tsai 1998 IV 48h delay: model E_PEP vs NHP protection,0.00 vs 0.50,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Tsai 1998 IV,delay_h=48,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: False
NHP,otten_12h_cv03,Otten 2000 12h delay: model E_PEP vs NHP protection,0.95 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=12,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: True
NHP,otten_36h_cv03,Otten 2000 36h delay: model E_PEP vs NHP protection,0.95 vs 1.00,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=36,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: True
NHP,otten_72h_cv03,Otten 2000 72h delay: model E_PEP vs NHP protection,0.0158 vs 0.50,probability,SRC/multiscale_model/results_v3/nhp_concordance.csv,"row: study=Otten 2000,delay_h=72,cv=0.3",37e27ea,fresh run reproduces byte-identical,Concordant: False
pk_driven,pk_tcrit_par_rho10,"PK-driven t_crit at ρ=1.0 (parenteral, perfect adherence)",34.0,hours,v3_revision/r3_pk_pd/test_regression.py,VERDICT block parenteral R3 t_crit at 100% adherence,v3-prep-2026-06-03,run test_regression.py; verify output matches,Δ = -0.5h from multiscale baseline (34.5h); within tolerance
pk_driven,pk_tcrit_muc_rho10,"PK-driven t_crit at ρ=1.0 (mucosal, perfect adherence)",59.5,hours,v3_revision/r3_pk_pd/test_regression.py,VERDICT block mucosal R3 t_crit at 100% adherence,v3-prep-2026-06-03,run test_regression.py; verify output matches,Δ = -1.0h from multiscale baseline (60.5h); within tolerance
pk_driven,pk_envelope_rho10,"PK-driven envelope bound at ρ=1.0 (parenteral)",11.2,percent,v3_revision/r3_pk_pd/test_regression.py,VERDICT block parenteral R3 envelope at perf adherence,v3-prep-2026-06-03,run test_regression.py; verify output matches,Δ = -0.1 pp from v2 envelope (11.3%); within tolerance
pharmacy,hartford_epep_dt8h,"Hartford E_PEP at Δt_pharmacy = 8h (parenteral structural delay = 27.2h)",0.00,probability,v3_revision/r3_pk_pd/pharmacy_sensitivity.py,"Hartford row, Δt+8h column",v3-prep-2026-06-03,run pharmacy_sensitivity.py; verify Hartford row Δt=8h < 0.05,Total delay 27.2+8=35.2h exceeds t_crit=34.5h; collapse to ~0
pharmacy,hartford_epep_baseline,"Hartford E_PEP at Δt_pharmacy = 0h (baseline, no pharmacy delay)",0.47,probability,v3_revision/r3_pk_pd/pharmacy_sensitivity.py,"Hartford row, Δt+0h column",v3-prep-2026-06-03,run pharmacy_sensitivity.py; verify Hartford Δt=0 ≈ 0.47,Structural delay alone (27.2h) already heavily penalizes Hartford
pharmacy,envelope_sweep_dt0,"Envelope bound at Δt_pharmacy = 0h",11.5,percent,v3_revision/r3_pk_pd/pharmacy_sensitivity.py,"Envelope section, Δt_pharm=0 row",v3-prep-2026-06-03,run pharmacy_sensitivity.py; verify Bound column at Δt=0,PK-driven envelope at zero pharmacy delay
pharmacy,envelope_sweep_dt12h,"Envelope bound at Δt_pharmacy = 12h",9.6,percent,v3_revision/r3_pk_pd/pharmacy_sensitivity.py,"Envelope section, Δt_pharm=12 row",v3-prep-2026-06-03,run pharmacy_sensitivity.py; verify Bound column at Δt=12,Envelope monotonically decreasing across pharmacy sweep; verified
pharmacy,mean_epep_sweep_dt0,"Mean E_PEP across 34 cities at Δt_pharmacy = 0h",96.1,percent,v3_revision/r3_pk_pd/pharmacy_sensitivity.py,"Envelope section, mean E_PEP column at Δt=0",v3-prep-2026-06-03,run pharmacy_sensitivity.py; verify mean E_PEP at Δt=0 ≈ 96.1%,Population-average preventability at baseline access
pharmacy,mean_epep_sweep_dt12h,"Mean E_PEP across 34 cities at Δt_pharmacy = 12h",83.7,percent,v3_revision/r3_pk_pd/pharmacy_sensitivity.py,"Envelope section, mean E_PEP column at Δt=12",v3-prep-2026-06-03,run pharmacy_sensitivity.py; verify mean E_PEP at Δt=12 ≈ 83.7%,12h pharmacy delay reduces mean effectiveness by ~12.4 pp
